item,group,example part,station_mm,mass_g,mass_basis,max_g,size_mm,lane,status,requirement,not checked here
motor,Propulsion,D3548 900 kV brushless outrunner,34.7,170.0,max,170.0,,derived from structure,placed,Bolts to the motor plate; prop plane 50-65 mm behind the ruddervator TE (pusher). HARD limit — the farthest-aft mass on the aircraft.,"0 deg thrust line with +-2 deg shim provision | mount must match the 19/25 mm M3 cross on the tail-block plate, or use a <=10 g adapter | open-sided venting around the can | UNDER A PULLER this row's pusher geometry does not apply — the can sits inside the nose, sized by the motor-fit constraint"
propeller,Propulsion,,5.0,55.5,max,55.5,,derived from structure,placed,"On the shaft, at the spinner.",
esc,Propulsion,"Hobbywing Skywalker 60A V2 (or AM32 equivalent, no BEC)",220.0,75.0,max,75.0,60.0 x 8.0 x 25.0,bay_left,placed,"Left sidewall, aft of the battery. May overlap the FC-tray zone lengthwise — different wall.","must sit in the nose-inlet -> tail-exit cooling stream | battery leads <=100 mm; phase wires exit rear into the LEFT boom channel, twisted + heat-shrunk every ~100 mm"
battery,Propulsion,"4S 4,000 mAh 30C LiPo",115.0,460.0,max,460.0,138.0 x 44.0 x 32.0,bay_floor,placed,"Battery bay, hard against the F1 crash bulkhead via printed spacer blocks. Its station IS the balance variable.",2 velcro straps through floor slots + 3 mm foam | must be rigidly retained — belly lander; a loose pack through F1 is the crash mode
servo_aileron_left,Actuation,MG90S metal gear (9 g class),494.7,14.0,max,14.0,22.8 x 12.2 x 28.5,derived from structure,placed,"Wing, 65% semi-span, direct linkage.","body must fit the printed 23.2 x 12.4 mm pocket, lugs outboard"
servo_aileron_right,Actuation,MG90S metal gear (9 g class),494.7,14.0,max,14.0,22.8 x 12.2 x 28.5,derived from structure,placed,"Wing, 65% semi-span, direct linkage.","body must fit the printed 23.2 x 12.4 mm pocket, lugs outboard"
servo_ruddervator_left,Actuation,MG90S metal gear (9 g class),1140.2,14.0,max,14.0,22.8 x 12.2 x 28.5,derived from structure,placed,"Bay in the tail root block, 70 mm x 2 mm pushrod.","counts against the <=120 g tail-group budget — NO heavier substitutes at the tail, ever"
servo_ruddervator_right,Actuation,MG90S metal gear (9 g class),1140.2,14.0,max,14.0,22.8 x 12.2 x 28.5,derived from structure,placed,"Bay in the tail root block, 70 mm x 2 mm pushrod.","counts against the <=120 g tail-group budget — NO heavier substitutes at the tail, ever"
flight_controller,Autopilot core,Matek H743-WING V3 (spec minimum: F405-Wing class),311.0,40.0,max,40.0,54.0 x 36.0 x 13.0,bay_shelf,placed,"FC tray on the avionics shelf, aft of the battery.","30.5 x 30.5 mm pattern, arrow FORWARD and level | soft-mount (foam tape / grommets) — pusher prop vibration comes down the boom | keep off the ESC wall (heat) | USB port reachable through the hatch for bench work"
sd_card_fc,Autopilot core,32 GB class-10,311.0,1.0,max,1.0,15.0 x 11.0 x 1.0,rides flight_controller,placed,FC card slot (no freedom of its own).,slot must face somewhere reachable through the hatch
